domain,payload,input_bytes,block_size,encoded_bytes,ratio,round_trip_ok
sparse_matrix,bcsstk07.smb,16384,32,4888,0.29834,True
sparse_matrix,bcsstk07.smb,16384,64,4094,0.249878,True
sparse_matrix,bcsstk07.smb,16384,128,3775,0.230408,True
sparse_matrix,bcsstk07.smb,16384,256,3493,0.213196,True
sparse_matrix,bcsstk07.smb,16384,512,3335,0.203552,True
sparse_matrix,bcsstk07.smb,16384,1024,3278,0.200073,True
sparse_matrix,bcsstk07.smb,16384,2048,3252,0.198486,True
sparse_matrix,bcsstk08.smb,16384,32,3052,0.186279,True
sparse_matrix,bcsstk08.smb,16384,64,2309,0.14093,True
sparse_matrix,bcsstk08.smb,16384,128,2046,0.124878,True
sparse_matrix,bcsstk08.smb,16384,256,1889,0.115295,True
sparse_matrix,bcsstk08.smb,16384,512,1784,0.108887,True
sparse_matrix,bcsstk08.smb,16384,1024,1713,0.104553,True
sparse_matrix,bcsstk08.smb,16384,2048,1734,0.105835,True
sparse_matrix,bcsstk09.smb,16384,32,2837,0.173157,True
sparse_matrix,bcsstk09.smb,16384,64,2069,0.126282,True
sparse_matrix,bcsstk09.smb,16384,128,1817,0.110901,True
sparse_matrix,bcsstk09.smb,16384,256,1512,0.092285,True
sparse_matrix,bcsstk09.smb,16384,512,1357,0.082825,True
sparse_matrix,bcsstk09.smb,16384,1024,1280,0.078125,True
sparse_matrix,bcsstk09.smb,16384,2048,1246,0.07605,True
sparse_matrix,bcsstk01.smb,316,32,324,1.025316,True
sparse_matrix,bcsstk01.smb,316,64,324,1.025316,True
sparse_matrix,bcsstk01.smb,316,128,324,1.025316,True
sparse_matrix,bcsstk01.smb,316,256,324,1.025316,True
sparse_matrix,bcsstk01.smb,316,512,324,1.025316,True
sparse_matrix,bcsstk01.smb,316,1024,324,1.025316,True
sparse_matrix,bcsstk01.smb,316,2048,324,1.025316,True
sparse_matrix,bcsstk02.smb,573,32,111,0.193717,True
sparse_matrix,bcsstk02.smb,573,64,88,0.153578,True
sparse_matrix,bcsstk02.smb,573,128,77,0.13438,True
sparse_matrix,bcsstk02.smb,573,256,67,0.116928,True
sparse_matrix,bcsstk02.smb,573,512,62,0.108202,True
sparse_matrix,bcsstk02.smb,573,1024,53,0.092496,True
sparse_matrix,bcsstk02.smb,573,2048,53,0.092496,True
sparse_matrix,bcsstk03.smb,1596,32,658,0.412281,True
sparse_matrix,bcsstk03.smb,1596,64,558,0.349624,True
sparse_matrix,bcsstk03.smb,1596,128,523,0.327694,True
sparse_matrix,bcsstk03.smb,1596,256,493,0.308897,True
sparse_matrix,bcsstk03.smb,1596,512,481,0.301378,True
sparse_matrix,bcsstk03.smb,1596,1024,472,0.295739,True
sparse_matrix,bcsstk03.smb,1596,2048,466,0.29198,True
sparse_matrix,bcsstk04.smb,2206,32,1982,0.898459,True
sparse_matrix,bcsstk04.smb,2206,64,1932,0.875793,True
sparse_matrix,bcsstk04.smb,2206,128,1939,0.878966,True
sparse_matrix,bcsstk04.smb,2206,256,1926,0.873073,True
sparse_matrix,bcsstk04.smb,2206,512,1906,0.864007,True
sparse_matrix,bcsstk04.smb,2206,1024,1892,0.857661,True
sparse_matrix,bcsstk04.smb,2206,2048,1885,0.854488,True
sparse_matrix,bcsstk05.smb,2955,32,1572,0.53198,True
sparse_matrix,bcsstk05.smb,2955,64,1429,0.483587,True
sparse_matrix,bcsstk05.smb,2955,128,1361,0.460575,True
sparse_matrix,bcsstk05.smb,2955,256,1312,0.443993,True
sparse_matrix,bcsstk05.smb,2955,512,1289,0.43621,True
sparse_matrix,bcsstk05.smb,2955,1024,1301,0.440271,True
sparse_matrix,bcsstk05.smb,2955,2048,1345,0.455161,True
sparse_matrix,bcsstk06.smb,16384,32,4888,0.29834,True
sparse_matrix,bcsstk06.smb,16384,64,4094,0.249878,True
