label,secret_bytes,compressed_bytes,asbx_ratio,k_bits_per_word,asbx_selector,words_with_asbx,words_without_asbx,capacity_gain_factor,round_trip_ok
sparse_matrix/bcsstk10.smb,147453,17185,0.116546,6,deterministic,22914,196604,8.5801,True
sparse_matrix/bcsstk11.smb,271245,18121,0.066807,6,deterministic,24162,361660,14.9681,True
sparse_matrix/bcsstk12.smb,271245,18121,0.066807,6,deterministic,24162,361660,14.9681,True
image_tensor/kmnist_test_000.img,784016,504935,0.644037,6,deterministic,673247,1045355,1.5527,True
image_tensor/kmnist_test_001.img,784016,513559,0.655036,6,deterministic,684746,1045355,1.5266,True
image_tensor/kmnist_test_002.img,784016,514784,0.656599,6,deterministic,686379,1045355,1.523,True
image_tensor/kmnist_test_003.img,784016,503000,0.641569,6,deterministic,670667,1045355,1.5587,True
image_tensor/kmnist_test_004.img,784016,505840,0.645191,6,deterministic,674454,1045355,1.5499,True
image_tensor/kmnist_test_005.img,784016,505432,0.644671,6,deterministic,673910,1045355,1.5512,True
image_tensor/kmnist_test_006.img,784016,504513,0.643498,6,deterministic,672684,1045355,1.554,True
image_tensor/kmnist_test_007.img,784016,503150,0.64176,6,deterministic,670867,1045355,1.5582,True
image_tensor/kmnist_test_008.img,784016,508295,0.648322,6,deterministic,677727,1045355,1.5424,True
image_tensor/kmnist_test_009.img,784016,514902,0.656749,6,deterministic,686536,1045355,1.5227,True
canterbury/alice29.txt,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
canterbury/asyoulik.txt,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
canterbury/cp.html,24603,24612,1.000366,6,deterministic,32816,32804,0.9996,True
canterbury/fields.c,11150,11158,1.000717,6,deterministic,14878,14867,0.9993,True
canterbury/grammar.lsp,3721,3729,1.00215,6,deterministic,4972,4962,0.998,True
canterbury/kennedy.xls,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
canterbury/lcet10.txt,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
canterbury/plrabn12.txt,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
canterbury/ptt5,65536,5979,0.091232,6,deterministic,7972,87382,10.9611,True
canterbury/sum,38240,33860,0.88546,6,deterministic,45147,50987,1.1294,True
canterbury/xargs.1,4227,4235,1.001893,6,deterministic,5647,5636,0.9981,True
silesia/dickens,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/mozilla,65536,41015,0.625839,6,deterministic,54687,87382,1.5979,True
silesia/mr,65536,45362,0.692169,6,deterministic,60483,87382,1.4447,True
silesia/nci,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/ooffice,65536,63292,0.965759,6,deterministic,84390,87382,1.0355,True
silesia/osdb,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/reymont,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/samba,65536,61792,0.942871,6,deterministic,82390,87382,1.0606,True
silesia/sao,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/webster,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/x-ray,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
silesia/xml,65536,65545,1.000137,6,deterministic,87394,87382,0.9999,True
synthetic_rho001_size1024,1024,128,0.125,6,deterministic,171,1366,7.9883,True
synthetic_rho005_size1024,1024,456,0.445312,6,deterministic,608,1366,2.2467,True
synthetic_rho010_size1024,1024,851,0.831055,6,deterministic,1135,1366,1.2035,True
synthetic_rho050_size1024,1024,1032,1.007812,6,deterministic,1376,1366,0.9927,True
synthetic_rho100_size1024,1024,31,0.030273,6,deterministic,42,1366,32.5238,True
synthetic_rho001_size4096,4096,485,0.118408,6,deterministic,647,5462,8.442,True
synthetic_rho005_size4096,4096,1804,0.44043,6,deterministic,2406,5462,2.2702,True
synthetic_rho010_size4096,4096,3416,0.833984,6,deterministic,4555,5462,1.1991,True
synthetic_rho050_size4096,4096,4104,1.001953,6,deterministic,5472,5462,0.9982,True
synthetic_rho100_size4096,4096,91,0.022217,6,deterministic,122,5462,44.7705,True
synthetic_rho001_size16384,16384,2021,0.123352,6,deterministic,2695,21846,8.1061,True
synthetic_rho005_size16384,16384,6792,0.414551,6,deterministic,9056,21846,2.4123,True
synthetic_rho010_size16384,16384,13636,0.832275,6,deterministic,18182,21846,1.2015,True
synthetic_rho050_size16384,16384,16393,1.000549,6,deterministic,21858,21846,0.9995,True
synthetic_rho100_size16384,16384,332,0.020264,6,deterministic,443,21846,49.3138,True
