model,dataset,oracle_mode,selected_mode,regret_bytes
decision_tree,SuiteSparse_HB_bcsstk,one_gaps,one_gaps,0
decision_tree,SuiteSparse_HB_bcsstk,one_gaps,zero_trim,49
decision_tree,SuiteSparse_HB_bcsstk,zero_trim,zero_trim,0
decision_tree,SuiteSparse_HB_bcsstk,raw,raw,0
decision_tree,SuiteSparse_HB_bcsstk,zero_trim,one_gaps,9
decision_tree,mnist,one_gaps,one_gaps,0
decision_tree,mnist,raw,raw,0
decision_tree,mnist,zero_trim,zero_trim,0
decision_tree,mnist,one_gaps,zero_trim,414
decision_tree,mnist,zero,zero,0
decision_tree,mnist,zero_trim,one_gaps,1119
decision_tree,mnist,zero_trim,raw,74
decision_tree,mnist,one_gaps,raw,1
decision_tree,mnist,zero,zero_trim,6
decision_tree,fashion_mnist,one_gaps,one_gaps,0
decision_tree,fashion_mnist,raw,raw,0
decision_tree,fashion_mnist,zero_trim,zero_trim,0
decision_tree,fashion_mnist,zero,zero,0
decision_tree,fashion_mnist,one_gaps,zero_trim,326
decision_tree,fashion_mnist,zero_trim,one_gaps,188
decision_tree,fashion_mnist,one_gaps,raw,36
decision_tree,fashion_mnist,zero,zero_trim,6
decision_tree,fashion_mnist,zero_trim,raw,49
hist_gradient_boosting,SuiteSparse_HB_bcsstk,one_gaps,one_gaps,0
hist_gradient_boosting,SuiteSparse_HB_bcsstk,zero_trim,zero_trim,0
hist_gradient_boosting,SuiteSparse_HB_bcsstk,raw,raw,0
hist_gradient_boosting,SuiteSparse_HB_bcsstk,zero_trim,one_gaps,9
hist_gradient_boosting,mnist,one_gaps,one_gaps,0
hist_gradient_boosting,mnist,raw,raw,0
hist_gradient_boosting,mnist,zero_trim,zero_trim,0
hist_gradient_boosting,mnist,one_gaps,zero_trim,127
hist_gradient_boosting,mnist,zero,zero,0
hist_gradient_boosting,mnist,zero_trim,one_gaps,83
hist_gradient_boosting,mnist,one_gaps,raw,7
hist_gradient_boosting,fashion_mnist,one_gaps,one_gaps,0
hist_gradient_boosting,fashion_mnist,raw,raw,0
hist_gradient_boosting,fashion_mnist,zero_trim,zero_trim,0
hist_gradient_boosting,fashion_mnist,zero,zero,0
hist_gradient_boosting,fashion_mnist,one_gaps,zero_trim,116
hist_gradient_boosting,fashion_mnist,zero_trim,one_gaps,38
hist_gradient_boosting,fashion_mnist,one_gaps,raw,26
hist_gradient_boosting,fashion_mnist,zero_trim,raw,23
small_mlp,SuiteSparse_HB_bcsstk,one_gaps,one_gaps,0
small_mlp,SuiteSparse_HB_bcsstk,zero_trim,zero_trim,0
small_mlp,SuiteSparse_HB_bcsstk,raw,raw,0
small_mlp,mnist,one_gaps,one_gaps,0
small_mlp,mnist,raw,raw,0
small_mlp,mnist,zero_trim,zero_trim,0
small_mlp,mnist,one_gaps,zero_trim,652
small_mlp,mnist,zero_trim,one_gaps,150
small_mlp,mnist,zero,zero,0
small_mlp,mnist,zero_trim,raw,4086
small_mlp,mnist,one_gaps,raw,1611
small_mlp,fashion_mnist,one_gaps,one_gaps,0
small_mlp,fashion_mnist,raw,raw,0
small_mlp,fashion_mnist,zero_trim,zero_trim,0
small_mlp,fashion_mnist,zero,zero,0
small_mlp,fashion_mnist,one_gaps,raw,5122
small_mlp,fashion_mnist,one_gaps,zero_trim,246
small_mlp,fashion_mnist,zero_trim,one_gaps,170
small_mlp,fashion_mnist,zero_trim,raw,2578
