model,domain,dataset,file,original_bytes,oracle_bytes,deterministic_bytes,selected_bytes,regret_bytes,improvement_vs_deterministic_bytes,inference_seconds_share
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,784016,690897,694619,690947,50,3672,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,784016,684214,688292,684275,61,4017,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_002.img,784016,688079,691843,688123,44,3720,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_003.img,784016,679337,683046,679391,54,3655,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_004.img,784016,691068,694858,691196,128,3662,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_005.img,784016,679620,683333,679681,61,3652,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_006.img,784016,685484,690504,685530,46,4974,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_007.img,784016,690421,693965,690468,47,3497,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_008.img,784016,684983,688233,685077,94,3156,0.0003553086932262649
decision_tree,grayscale_image_tensor,fashion_mnist,fashion_mnist_test_009.img,784016,690233,694047,690253,20,3794,0.0003553086932262649
decision_tree,grayscale_image_tensor,mnist,mnist_test_000.img,784016,496973,506771,497149,176,9622,0.0003553086932262649
decision_tree,grayscale_image_tensor,mnist,mnist_test_001.img,784016,494835,505558,494997,162,10561,0.0003553086932262649
decision_tree,grayscale_image_tensor,mnist,mnist_test_002.img,784016,499446,509128,499526,80,9602,0.0003553086932262649
decision_tree,grayscale_image_tensor,mnist,mnist_test_003.img,784016,497796,508110,497963,167,10147,0.0003553086932262649
decision_tree,grayscale_image_tensor,mnist,mnist_test_004.img,784016,496139,505707,496353,214,9354,0.0003553086932262649
