domain,dataset,method,files,original_bytes,encoded_bytes,weighted_ratio
grayscale_image_tensor,fashion_mnist,asbx_deterministic,10,7840160,6902740,0.8804335625803555
grayscale_image_tensor,fashion_mnist,asbx_fixed_one_gaps,10,7840160,7450735,0.9503294575620905
grayscale_image_tensor,fashion_mnist,asbx_fixed_raw,10,7840160,7840250,1.000011479357564
grayscale_image_tensor,fashion_mnist,asbx_fixed_zero,10,7840160,7840250,1.000011479357564
grayscale_image_tensor,fashion_mnist,asbx_fixed_zero_gaps,10,7840160,7840250,1.000011479357564
grayscale_image_tensor,fashion_mnist,asbx_fixed_zero_trim,10,7840160,6958032,0.8874859696740883
grayscale_image_tensor,fashion_mnist,asbx_oracle,10,7840160,6864336,0.8755351931593233
grayscale_image_tensor,fashion_mnist,bzip2_9,10,7840160,4051646,0.5167810350809167
grayscale_image_tensor,fashion_mnist,lzma_9,10,7840160,3782896,0.48250239791024674
grayscale_image_tensor,fashion_mnist,png_per_image,10,7840160,5083358,0.6483742678720843
grayscale_image_tensor,fashion_mnist,zlib_9,10,7840160,4383819,0.55914917552703
grayscale_image_tensor,mnist,asbx_deterministic,10,7840160,5116350,0.6525823452582601
grayscale_image_tensor,mnist,asbx_fixed_one_gaps,10,7840160,5983509,0.763187103324422
grayscale_image_tensor,mnist,asbx_fixed_raw,10,7840160,7840250,1.000011479357564
grayscale_image_tensor,mnist,asbx_fixed_zero,10,7840160,7776242,0.991847360257954
grayscale_image_tensor,mnist,asbx_fixed_zero_gaps,10,7840160,7840250,1.000011479357564
grayscale_image_tensor,mnist,asbx_fixed_zero_trim,10,7840160,5365142,0.6843153711148752
grayscale_image_tensor,mnist,asbx_oracle,10,7840160,5025119,0.6409459755923349
grayscale_image_tensor,mnist,bzip2_9,10,7840160,1433541,0.182845885798249
grayscale_image_tensor,mnist,lzma_9,10,7840160,1406236,0.17936317626170895
grayscale_image_tensor,mnist,png_per_image,10,7840160,2745686,0.35020790392032813
grayscale_image_tensor,mnist,zlib_9,10,7840160,1602753,0.20442860859982448
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_deterministic,3,312931,48792,0.15591935602417145
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_fixed_one_gaps,3,312931,48864,0.15614943869415301
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_fixed_raw,3,312931,312958,1.0000862810012432
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_fixed_zero,3,312931,312958,1.0000862810012432
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_fixed_zero_gaps,3,312931,312958,1.0000862810012432
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_fixed_zero_trim,3,312931,221130,0.7066414001808705
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,asbx_oracle,3,312931,48748,0.15577874994807162
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,bzip2_9,3,312931,12112,0.038705018039120444
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,lzma_9,3,312931,11784,0.03765686365364889
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,sparse_position_gaps,3,312931,43300,0.13836916125280013
sparse_matrix_pattern,SuiteSparse_HB_bcsstk,zlib_9,3,312931,14263,0.045578737804819594
